image_id,model,age,face_confidence,gender,gender_confidence,race,race_confidence
1,DeepFace,30-39,0.94,Male,88.54814,Asian,36.67319
10,DeepFace,30-39,0.0,Male,99.890564,Middle Eastern,50.55386
100,DeepFace,30-39,0.94,Female,79.762024,Asian,99.99742
1000,DeepFace,20-29,0.97,Male,99.78252,White,61.980343
10000,DeepFace,20-29,0.0,Male,75.93022,White,89.02948
10001,DeepFace,40-49,0.89,Male,97.50095,Latino_Hispanic,38.15541
10002,DeepFace,20-29,0.0,Male,99.73845,White,52.4096
10003,DeepFace,30-39,0.96,Male,73.61043,Asian,42.868256
10004,DeepFace,30-39,0.0,Male,99.95253,Indian,91.84106
10005,DeepFace,20-29,0.0,Male,99.71062,Asian,36.12422
10006,DeepFace,20-29,0.92,Male,99.46634,Indian,35.827385
10007,DeepFace,20-29,0.91,Male,99.54136,Black,43.494286
10008,DeepFace,20-29,0.92,Female,99.96173,White,32.891533
10009,DeepFace,30-39,0.93,Male,69.31925,Latino_Hispanic,24.18748
1001,DeepFace,30-39,0.0,Male,99.34017,Black,53.820133
10010,DeepFace,30-39,0.98,Male,92.06495,Black,66.98517
10011,DeepFace,30-39,0.0,Male,97.854004,Black,99.99999
10012,DeepFace,30-39,0.93,Male,99.64921,Asian,75.53261
10013,DeepFace,30-39,0.92,Female,99.99502,Latino_Hispanic,33.028572
10014,DeepFace,30-39,0.94,Female,98.26212,White,35.090065
10015,DeepFace,20-29,0.94,Male,96.333954,Indian,25.579473
10016,DeepFace,40-49,0.92,Male,99.99827,Middle Eastern,34.691643
10017,DeepFace,30-39,0.0,Male,83.11993,Indian,44.64342
10018,DeepFace,30-39,0.92,Male,92.76718,White,99.25593
10019,DeepFace,40-49,0.93,Male,98.43765,Middle Eastern,52.28666
1002,DeepFace,30-39,0.96,Male,56.488293,Black,100.0
10020,DeepFace,20-29,0.0,Male,98.26542,Black,95.1939
10021,DeepFace,30-39,0.95,Male,96.71865,Black,100.0
10022,DeepFace,30-39,0.0,Male,99.594864,Black,99.68073
10023,DeepFace,30-39,0.96,Male,55.648613,White,32.031765
10024,DeepFace,30-39,0.97,Male,62.500797,Black,45.84682
10025,DeepFace,40-49,0.0,Female,86.499626,Middle Eastern,34.13058
10026,DeepFace,20-29,0.0,Male,98.234726,White,64.018654
10027,DeepFace,20-29,0.96,Male,98.25674,Black,47.5421
10028,DeepFace,20-29,0.98,Female,99.631325,White,84.10326
10029,DeepFace,30-39,0.93,Female,97.5064,Latino_Hispanic,43.77825
1003,DeepFace,30-39,0.95,Female,99.897026,White,45.36932
10030,DeepFace,30-39,0.92,Female,50.030483,Latino_Hispanic,28.58167
10031,DeepFace,30-39,0.91,Male,73.491035,Middle Eastern,29.62403
10032,DeepFace,40-49,0.94,Male,94.69333,Black,99.385635
10033,DeepFace,40-49,0.93,Male,99.97924,Latino_Hispanic,54.702377
