image_id,model,age,age_confidence,gender,gender_confidence,race,race_confidence
1,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10,Facellm,30-39,0.9,Male,0.9,White,0.9
100,Facellm,20-29,0.8,Female,0.8,Asian,0.8
1000,Facellm,10-19,0.9,Male,0.9,White,0.9
10000,Facellm,10-19,0.9,Female,0.9,White,0.9
10001,Facellm,60-69,0.9,Female,0.9,White,0.9
10002,Facellm,10-19,0.9,Female,0.9,White,0.9
10003,Facellm,0-2,0.0,Female,0.0,Asian,0.0
10004,Facellm,30-39,0.8,Male,0.8,Indian,0.8
10005,Facellm,10-19,0.9,Male,0.9,Asian,0.9
10006,Facellm,30-39,0.9,Male,0.9,White,0.9
10007,Facellm,10-19,0.5,Female,0.5,Black,0.5
10008,Facellm,10-19,0.8,Female,0.8,Latino_Hispanic,0.8
10009,Facellm,0-2,0.5,Female,0.5,Asian,0.5
1001,Facellm,30-39,0.8,Male,0.8,Black,0.8
10010,Facellm,10-19,0.8,Female,0.8,Black,0.8
10011,Facellm,10-19,0.0,Female,0.0,Black,0.0
10012,Facellm,10-19,0.9,Female,0.9,White,0.9
10013,Facellm,30-39,0.9,Female,0.9,White,0.9
10014,Facellm,10-19,0.9,Female,0.9,White,0.9
10015,Facellm,30-39,0.9,Male,0.9,Indian,0.9
10016,Facellm,30-39,0.9,Male,0.9,White,0.9
10017,Facellm,30-39,0.8,Male,0.8,Middle Eastern,0.8
10018,Facellm,30-39,0.9,Female,0.9,White,0.9
10019,Facellm,30-39,0.9,Male,0.9,White,0.9
1002,Facellm,30-39,0.8,Female,0.8,Black,0.8
10020,Facellm,0-2,0.5,Female,0.5,Asian,0.5
10021,Facellm,10-19,0.8,Male,0.8,Black,0.8
10022,Facellm,10-19,0.5,Female,0.5,Black,0.5
10023,Facellm,0-2,0.8,Female,0.8,Asian,0.8
10024,Facellm,30-39,0.8,Female,0.8,Asian,0.8
10025,Facellm,30-39,0.8,Female,0.8,Middle Eastern,0.8
10026,Facellm,30-39,0.9,Male,0.9,Asian,0.9
10027,Facellm,10-19,0.8,Female,0.8,Asian,0.8
10028,Facellm,10-19,0.9,Female,0.9,White,0.9
10029,Facellm,10-19,0.8,Female,0.8,Asian,0.8
1003,Facellm,30-39,0.8,Female,0.8,Latino_Hispanic,0.8
10030,Facellm,30-39,0.8,Male,0.8,Asian,0.8
10031,Facellm,10-19,0.9,Female,0.9,White,0.9
10032,Facellm,30-39,0.8,Female,0.8,Black,0.8
10033,Facellm,30-39,0.9,Male,0.9,White,0.9
10034,Facellm,30-39,0.8,Female,0.8,Black,0.8
10035,Facellm,10-19,0.9,Male,0.9,Asian,0.9
10036,Facellm,30-39,0.9,Female,0.9,Latino_Hispanic,0.9
10037,Facellm,10-19,0.0,Female,0.0,Black,0.0
10038,Facellm,10-19,0.8,Female,0.8,Latino_Hispanic,0.8
