image_id,age,gender,race,service_test
1,50-59,Male,East Asian,True
10,30-39,Male,Middle Eastern,False
11,50-59,Male,East Asian,True
12,20-29,Male,East Asian,False
100,20-29,Female,East Asian,False
101,30-39,Male,Indian,False
102,30-39,Male,White,False
103,40-49,Male,Indian,True
104,30-39,Male,Indian,False
105,50-59,Male,East Asian,False
106,40-49,Male,Black,False
107,30-39,Female,White,False
108,more than 70,Female,Indian,False
109,20-29,Female,Middle Eastern,True
110,30-39,Male,White,False
111,40-49,Female,Indian,False
112,40-49,Female,Latino_Hispanic,False
113,30-39,Male,Middle Eastern,True
114,30-39,Female,White,False
115,50-59,Male,Black,True
116,20-29,Female,Latino_Hispanic,False
117,30-39,Male,White,False
118,30-39,Male,White,False
119,40-49,Male,Indian,True
120,60-69,Male,Middle Eastern,False
121,20-29,Female,White,False
122,20-29,Female,East Asian,False
123,30-39,Female,Black,False
124,0-2,Male,Indian,False
125,40-49,Male,White,False
126,30-39,Female,East Asian,False
1000,30-39,Male,White,False
1001,40-49,Male,Black,False
1002,30-39,Female,Black,False
1003,30-39,Female,Latino_Hispanic,False
1004,40-49,Male,Latino_Hispanic,False
1005,50-59,Male,East Asian,False
1006,40-49,Female,Latino_Hispanic,False
1007,30-39,Female,Black,False
1008,20-29,Female,Indian,False
1009,0-2,Female,East Asian,False
1010,50-59,Male,Indian,False
1011,40-49,Female,East Asian,True
1012,30-39,Female,Black,True
1013,20-29,Male,East Asian,False
1014,50-59,Male,White,False
1015,60-69,Female,East Asian,True
1016,40-49,Male,Middle Eastern,True
1017,60-69,Female,White,False
1018,30-39,Male,Latino_Hispanic,False
1019,30-39,Male,Latino_Hispanic,True
1020,10-19,Female,Black,False
1021,20-29,Female,East Asian,False
1022,10-19,Male,Indian,True
1023,30-39,Female,Latino_Hispanic,True
1024,30-39,Male,Middle Eastern,False
1025,30-39,Male,Black,False
1026,20-29,Female,East Asian,False
1027,3-9,Male,Southeast Asian,True
1028,50-59,Male,East Asian,False
1029,20-29,Male,Black,True
1030,20-29,Male,Southeast Asian,False
1031,10-19,Male,Middle Eastern,True
1032,50-59,Male,Latino_Hispanic,False
1033,40-49,Male,White,True
1034,10-19,Male,Indian,True
1035,20-29,Male,Middle Eastern,False
1036,20-29,Male,East Asian,True
1037,10-19,Female,White,True
1038,20-29,Male,Indian,False
1039,30-39,Female,Southeast Asian,False
1040,40-49,Male,Middle Eastern,False
1041,30-39,Female,Middle Eastern,True
1042,3-9,Male,Southeast Asian,True
1043,50-59,Female,Latino_Hispanic,False
1044,3-9,Female,Black,True
1045,20-29,Male,Indian,True
1046,30-39,Male,Indian,False
1047,more than 70,Male,Indian,False
1048,20-29,Male,Latino_Hispanic,True
1049,20-29,Male,White,False
1050,10-19,Female,Black,True
1051,20-29,Female,White,True
1052,0-2,Female,Southeast Asian,True
1053,3-9,Female,Latino_Hispanic,False
1054,20-29,Female,Indian,True
1055,20-29,Female,Indian,True
1056,3-9,Female,Latino_Hispanic,False
1057,20-29,Male,Southeast Asian,True
1058,20-29,Female,Indian,True
1059,more than 70,Female,Black,False
1060,30-39,Male,Latino_Hispanic,True
1061,40-49,Male,East Asian,False
1062,20-29,Female,White,False
1063,20-29,Female,Latino_Hispanic,False
1064,20-29,Male,East Asian,False
1065,20-29,Female,Southeast Asian,False
1066,20-29,Male,White,False
1067,30-39,Female,Indian,True
1068,50-59,Male,Black,True
1069,20-29,Male,Southeast Asian,True
1070,20-29,Female,White,True
1071,50-59,Male,Black,True
1072,3-9,Male,White,False
1073,20-29,Female,Middle Eastern,True
1074,20-29,Female,Indian,True
1075,40-49,Male,Latino_Hispanic,False
1076,20-29,Male,Indian,True
1077,40-49,Male,White,False
1078,3-9,Male,White,True
1079,30-39,Female,Black,False
1080,30-39,Female,White,False
1081,40-49,Male,Black,False
1082,20-29,Male,White,True
1083,30-39,Female,Southeast Asian,False
1084,3-9,Male,Black,True
1085,10-19,Female,Black,False
1086,30-39,Male,White,True
1087,40-49,Male,Middle Eastern,True
1088,3-9,Female,East Asian,True
1089,20-29,Male,Latino_Hispanic,True
1090,20-29,Female,Latino_Hispanic,True
1091,10-19,Male,Latino_Hispanic,False
1092,3-9,Female,Latino_Hispanic,False
1093,10-19,Female,Indian,False
1094,10-19,Female,Black,True
1095,3-9,Female,Indian,False
1096,20-29,Male,Indian,False
1097,20-29,Male,White,False
1098,10-19,Female,East Asian,False
1099,3-9,Male,White,True
1100,20-29,Female,White,False
1101,20-29,Male,Latino_Hispanic,False
1102,20-29,Female,Middle Eastern,True
1103,3-9,Female,Indian,False
1104,30-39,Male,White,False
1105,30-39,Male,East Asian,True
1106,30-39,Female,White,False
1107,30-39,Female,White,True
1108,20-29,Female,White,False
1109,0-2,Female,White,False
1110,40-49,Female,White,False
1111,20-29,Female,Southeast Asian,False
1112,30-39,Male,Latino_Hispanic,False
1113,3-9,Male,Black,False
1114,20-29,Female,Latino_Hispanic,False
1115,30-39,Female,Latino_Hispanic,True
1116,20-29,Male,White,True
1117,0-2,Female,East Asian,True
1118,50-59,Female,Black,True
1119,3-9,Male,Latino_Hispanic,False
1120,20-29,Male,White,False
1121,20-29,Female,Southeast Asian,True
1122,20-29,Female,White,False
1123,30-39,Male,White,False
1124,30-39,Female,White,False
1125,10-19,Female,East Asian,True
1126,30-39,Female,White,True
1127,30-39,Female,East Asian,True
1128,20-29,Female,Indian,True
1129,20-29,Male,Black,False
1130,20-29,Male,Southeast Asian,False
1131,20-29,Female,White,True
1132,0-2,Female,Black,False
1133,30-39,Male,White,True
1134,20-29,Female,White,True
1135,20-29,Female,Latino_Hispanic,True
1136,20-29,Male,White,True
1137,60-69,Male,White,True
1138,20-29,Female,Latino_Hispanic,True
1139,40-49,Female,East Asian,True
1140,30-39,Male,Middle Eastern,False
1141,30-39,Female,East Asian,False
1142,3-9,Male,Indian,True
1143,60-69,Male,East Asian,False
1144,0-2,Female,White,True
1145,20-29,Female,Indian,False
1146,3-9,Female,Southeast Asian,False
1147,3-9,Male,Indian,False
1148,40-49,Male,White,True
1149,3-9,Male,Black,False
1150,30-39,Male,Indian,False
1151,3-9,Female,White,False
1152,20-29,Male,Latino_Hispanic,False
1153,50-59,Male,Black,False
1154,20-29,Male,East Asian,False
1155,20-29,Male,Middle Eastern,True
1156,30-39,Female,Latino_Hispanic,False
1157,30-39,Male,White,False
1158,30-39,Male,East Asian,False
1159,3-9,Female,Latino_Hispanic,False
1160,50-59,Male,White,False
1161,50-59,Male,White,False
1162,40-49,Female,White,False
1163,10-19,Male,Black,True
1164,20-29,Male,Southeast Asian,True
1165,50-59,Male,Black,False
1166,30-39,Male,Black,True
1167,20-29,Male,East Asian,False
1168,10-19,Female,Indian,False
1169,3-9,Female,Black,True
1170,20-29,Female,White,False
1171,60-69,Male,White,False
1172,20-29,Female,Black,True
1173,40-49,Male,White,False
1174,30-39,Male,White,False
1175,30-39,Male,East Asian,False
1176,30-39,Female,Indian,True
1177,0-2,Male,East Asian,False
1178,20-29,Male,White,True
1179,50-59,Male,Latino_Hispanic,False
1180,10-19,Female,Southeast Asian,True
1181,10-19,Male,Indian,True
1182,30-39,Male,White,False
1183,10-19,Female,Latino_Hispanic,False
1184,3-9,Male,Latino_Hispanic,False
1185,10-19,Female,Southeast Asian,True
1186,10-19,Female,Southeast Asian,True
1187,10-19,Male,Black,True
1188,50-59,Female,Latino_Hispanic,False
1189,30-39,Male,White,False
1190,50-59,Male,Indian,True
1191,10-19,Male,Southeast Asian,True
1192,30-39,Male,Middle Eastern,False
1193,3-9,Male,Indian,False
1194,20-29,Male,Middle Eastern,True
1195,60-69,Male,White,False
1196,30-39,Male,White,True
1197,3-9,Male,White,True
1198,10-19,Female,Latino_Hispanic,False
1199,30-39,Female,Black,False
1200,0-2,Male,White,False
1201,3-9,Male,Black,False
1202,50-59,Female,Indian,False
1203,40-49,Male,White,False
1204,20-29,Male,Indian,True
1205,20-29,Female,Southeast Asian,False
1206,30-39,Female,East Asian,True
1207,60-69,Male,Middle Eastern,False
1208,20-29,Female,East Asian,False
1209,0-2,Male,Indian,False
1210,10-19,Male,Southeast Asian,False
1211,20-29,Male,East Asian,True
1212,0-2,Male,Black,True
1213,20-29,Female,East Asian,False
1214,20-29,Male,White,False
1215,3-9,Male,Southeast Asian,True
1216,50-59,Female,East Asian,True
1217,40-49,Male,White,False
1218,3-9,Male,Southeast Asian,True
1219,3-9,Male,Indian,False
1220,20-29,Male,Southeast Asian,False
1221,20-29,Female,Southeast Asian,False
1222,30-39,Male,Southeast Asian,False
1223,20-29,Male,Southeast Asian,True
1224,50-59,Male,Latino_Hispanic,False
1225,50-59,Female,Latino_Hispanic,True
1226,20-29,Female,Black,True
1227,3-9,Male,Indian,False
1228,10-19,Male,White,False
1229,more than 70,Female,Indian,True
1230,30-39,Male,East Asian,False
1231,20-29,Female,East Asian,False
1232,40-49,Male,Indian,True
1233,20-29,Male,Latino_Hispanic,False
1234,20-29,Male,White,True
1235,30-39,Male,Middle Eastern,False
1236,3-9,Male,East Asian,True
1237,30-39,Male,Middle Eastern,True
1238,40-49,Male,Middle Eastern,True
1239,30-39,Female,East Asian,True
1240,30-39,Female,White,False
1241,10-19,Female,Southeast Asian,False
1242,50-59,Female,Black,False
1243,10-19,Female,Indian,True
1244,10-19,Male,Latino_Hispanic,True
1245,40-49,Female,East Asian,True
1246,20-29,Female,White,False
1247,20-29,Male,Black,True
1248,10-19,Female,Latino_Hispanic,True
1249,50-59,Female,Latino_Hispanic,True
1250,20-29,Female,Black,False
1251,10-19,Male,Indian,True
1252,20-29,Female,White,False
1253,60-69,Male,Latino_Hispanic,True
1254,10-19,Male,White,False
1255,40-49,Male,White,False
1256,20-29,Female,Indian,True
1257,10-19,Female,Indian,False
1258,30-39,Male,White,False
1259,30-39,Female,Black,True
1260,60-69,Male,Southeast Asian,True
1261,3-9,Female,Indian,True
1262,30-39,Female,Black,True
1263,40-49,Female,Indian,True
